Month,Book_ID,Book_Name,Author,ISBN,Category,Branch_Name,Current_Stock,Daily_Sales,Monthly_Sales,Rating,View_Count,Search_Count,Avg_Event_Score,CategoryScore,Branch_Demand_Score,Trend_Score,Trend_Label
2025-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,43.0,7.97,192,4.57,27.52,12.56,10.7,70,58.04,63.3,Moderate Demand
2025-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,31.0,5.75,175,4.4,27.92,9.77,10.0,70,64.81,64.21,Moderate Demand
2025-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,71.0,7.01,216,4.34,27.82,7.06,11.3,70,53.01,61.41,Low Demand
2025-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,71.0,8.98,252,4.45,38.56,10.99,19.3,70,70.61,63.78,Moderate Demand
2025-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,28.0,5.7,204,4.66,30.18,4.84,18.6,70,69.38,65.52,Moderate Demand
2025-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,70.0,6.8,204,4.5,26.5,9.59,10.7,70,55.3,61.22,Low Demand
2025-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,92.0,7.06,219,4.25,35.49,10.16,9.0,70,61.62,58.39,Low Demand
2025-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,83.0,6.22,275,4.64,41.71,15.9,9.6,70,56.65,63.17,Moderate Demand
2025-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,85.0,9.78,250,4.43,44.77,12.54,31.3,70,82.83,62.7,Low Demand
2025-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,43.0,9.63,271,4.63,37.58,12.15,9.3,70,70.58,65.21,Moderate Demand
2025-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,113.0,6.26,210,4.51,33.58,11.09,7.2,70,72.87,59.48,Low Demand
2025-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,117.0,7.83,242,4.38,30.12,11.54,9.0,70,61.8,59.82,Low Demand
2025-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,36.0,16.74,478,4.43,111.33,18.27,8.7,70,69.77,74.18,High Demand
2025-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,79.0,14.16,415,4.63,59.31,26.61,8.4,70,79.66,70.0,Moderate Demand
2025-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,91.0,16.14,522,4.43,67.86,26.42,10.5,70,105.22,71.01,High Demand
2025-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,82.0,15.51,618,4.68,110.2,37.77,19.2,70,120.1,76.01,High Demand
2025-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,53.0,19.63,556,4.38,90.03,30.49,18.3,70,99.49,75.43,High Demand
2025-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,103.0,16.61,488,4.73,60.88,19.01,8.2,70,83.97,69.34,Moderate Demand
2025-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,97.0,18.23,540,4.29,56.16,23.31,10.2,70,92.83,71.3,High Demand
2025-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,119.0,16.22,679,4.34,78.15,29.55,11.8,70,115.73,76.04,High Demand
2025-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,91.0,26.17,613,4.6,75.54,27.95,30.1,70,78.52,74.92,High Demand
2025-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,42.0,21.65,654,4.72,79.41,29.51,9.6,70,109.39,79.61,High Demand
2025-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,46.0,16.66,535,4.45,81.31,25.97,12.1,70,76.44,76.87,High Demand
2025-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,57.0,26.59,593,4.63,106.05,25.16,8.5,70,97.22,77.63,High Demand
2025-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,44.0,11.14,348,4.35,64.49,21.9,9.2,70,81.31,69.44,Moderate Demand
2025-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,29.0,7.96,296,4.36,40.18,18.88,10.6,70,74.03,70.0,Moderate Demand
2025-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,35.0,11.08,369,4.52,56.52,15.7,11.8,70,74.97,70.69,Moderate Demand
2025-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,83.0,8.55,420,4.82,74.25,16.35,22.8,70,95.86,68.05,Moderate Demand
2025-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,83.0,14.25,375,4.45,69.85,13.73,21.1,70,69.09,65.46,Moderate Demand
2025-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,33.0,10.35,334,4.25,45.97,12.95,11.8,70,67.56,69.59,Moderate Demand
2025-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,43.0,10.32,366,4.14,46.14,13.39,9.4,70,62.27,69.52,Moderate Demand
2025-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,66.0,17.51,459,4.49,73.11,15.8,8.6,70,82.98,71.57,High Demand
2025-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,76.0,10.79,450,4.59,83.63,21.36,33.5,70,91.38,70.0,Moderate Demand
2025-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,65.0,16.75,476,4.44,63.42,22.83,10.3,70,80.86,71.14,High Demand
2025-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,90.0,7.51,347,4.52,65.2,18.02,9.0,70,50.15,63.98,Moderate Demand
2025-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,116.0,10.97,371,4.37,73.65,15.85,7.6,70,80.72,64.47,Moderate Demand
2025-01,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,59.0,7.08,276,4.19,37.01,13.21,8.9,70,68.14,58.81,Low Demand
2025-02,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,64.0,11.73,263,4.06,30.33,17.41,8.7,70,53.88,59.01,Low Demand
2025-03,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,91.0,12.83,306,3.79,41.25,13.82,8.4,70,61.5,55.05,Low Demand
2025-04,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,72.0,11.67,371,3.89,48.85,16.21,21.7,70,70.16,59.55,Low Demand
2025-05,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,37.0,11.72,318,4.17,49.09,19.16,19.2,70,56.45,62.62,Low Demand
2025-06,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,74.0,9.69,300,3.99,33.05,13.99,8.5,70,67.02,57.27,Low Demand
2025-07,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,36.0,11.21,317,3.65,64.91,13.28,8.9,70,65.83,62.94,Moderate Demand
2025-08,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,70.0,11.56,411,3.94,89.84,23.79,8.0,70,58.89,63.78,Moderate Demand
2025-09,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,29.0,9.08,384,3.9,51.59,15.92,32.9,70,38.81,65.86,Moderate Demand
2025-10,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,97.0,8.28,370,3.6,34.0,15.73,9.5,70,58.43,58.11,Low Demand
2025-11,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,57.0,10.9,307,4.05,41.94,14.93,8.7,70,79.26,60.08,Low Demand
2025-12,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,69.0,15.53,337,4.2,54.19,13.42,9.8,70,80.3,59.99,Low Demand
