singlish,sinhala
sevanalla,සෙවණැල්ල
sewanalla,සෙවණැල්ල
wishvaasaya,විශ්වාසය
wisvaasaya,විශ්වාසය
wishwaasaya,විශ්වාසය
wiswaasaya,විශ්වාසය
ahasa,අහස
kotasa,කොටස
kothasa,කොටස
kaaranya,කාරණය
bat,බත්
bath,බත්
welandesela,වෙළඳසැල
welandasela,වෙළඳසැල
welandsela,වෙළඳසැල
welandhasela,වෙළඳසැල
madhyamaraa,මධ්‍යමරෑ
kamarava,කැමරාව
kamarawa,කැමරාව
prashnaya,ප්‍රශ්නය
prasnaya,ප්‍රශ්නය
vatta,වත්ත
watta,වත්ත
maayava,මායාව
maayawa,මායාව
dumriya,දුම්රිය
madhura,මැදුර
kurulu,කුරුළු
kolaya,කොළය
sariraya,ශරීරය
shareeraya,ශරීරය
sareeraya,ශරීරය
shariraya,ශරීරය
selasuma,සැලසුම
polova,පොළොව
polowa,පොළොව
diyapaara,දියපාර
samudraya,සමුද්‍රය
monara,මොණරා
wanija,වාණිජ
vanija,වාණිජ
rahasya,රහස්‍ය
gandra,ගන්දර
gandara,ගන්දර
gandhara,ගන්දර
goleeya,ගෝලීය
goliya,ගෝලීය
praveshma,ප්‍රවේශම
pravesma,ප්‍රවේශම
lamaya,ළමයා
wiyadem,වියදම්
wiyadham,වියදම්
wiyadm,වියදම්
wiyadam,වියදම්
kale,කැලේ
karmaaya,කර්මය
yakshaya,යක්ෂයා
yaksaya,යක්ෂයා
rasaayanaya,රසායනය
asa,ඇස
viduliya,විදුලිය
parivarthanaya,පරිවර්තනය
parivartanaya,පරිවර්තනය
patawu,පැටවු
yatura,යතුර
yathura,යතුර
kata,කට
dahama,දහම
dhahama,දහම
dhama,දහම
withthi,විත්ති
witthi,විත්ති
grantagaaraya,ග්‍රන්ථාගාරය
granthagaaraya,ග්‍රන්ථාගාරය
ginna,ගින්න
kumaraya,කුමාරයා
daivaya,දෛවය
daiwaya,දෛවය
dhaiwaya,දෛවය
